ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,MiscellaneousOvernightStays,MonthName,TotalOvernightStays
Acadia NP,ACAD,National Park,Northeast,ME,2000,1,22500,20373,148500,0,0,105,0,0,0,January,105
Acadia NP,ACAD,National Park,Northeast,ME,2000,2,23848,19923,157397,0,0,75,6,0,0,February,81
Acadia NP,ACAD,National Park,Northeast,ME,2000,3,35423,20373,233792,0,0,354,3,0,0,March,357
Acadia NP,ACAD,National Park,Northeast,ME,2000,4,78555,21723,455619,0,0,1122,240,0,0,April,1362
Acadia NP,ACAD,National Park,Northeast,ME,2000,5,166456,21923,965445,0,0,6279,993,0,663,May,7272
Acadia NP,ACAD,National Park,Northeast,ME,2000,6,319208,21723,1851406,0,0,15384,3009,0,2054,June,18393
Acadia NP,ACAD,National Park,Northeast,ME,2000,7,547929,21923,2739645,0,0,34500,4953,0,2576,July,39453
Acadia NP,ACAD,National Park,Northeast,ME,2000,8,594904,21923,2974520,0,0,35235,5877,0,3065,August,41112
Acadia NP,ACAD,National Park,Northeast,ME,2000,9,378135,21723,1890675,0,0,15396,5427,0,764,September,20823
Acadia NP,ACAD,National Park,Northeast,ME,2000,10,253626,20373,1521756,0,0,5151,1929,0,625,October,7080
Acadia NP,ACAD,National Park,Northeast,ME,2000,11,33693,20223,202158,0,0,345,240,0,0,November,585
Acadia NP,ACAD,National Park,Northeast,ME,2000,12,14961,20373,89766,0,0,87,15,0,0,December,102
Acadia NP,ACAD,National Park,Northeast,ME,2001,1,18090,20373,119394,0,0,57,6,0,0,January,63
Acadia NP,ACAD,National Park,Northeast,ME,2001,2,23926,19923,157911,0,0,87,15,0,0,February,102
Acadia NP,ACAD,National Park,Northeast,ME,2001,3,35473,20373,234122,0,0,105,0,0,0,March,105
Acadia NP,ACAD,National Park,Northeast,ME,2001,4,76007,21723,440841,0,0,2088,264,0,0,April,2352
Acadia NP,ACAD,National Park,Northeast,ME,2001,5,157353,21923,912647,0,0,6888,1431,0,1044,May,8319
Acadia NP,ACAD,National Park,Northeast,ME,2001,6,325242,21723,1886403,0,0,15564,2913,0,1741,June,18477
Acadia NP,ACAD,National Park,Northeast,ME,2001,7,558641,21923,2793205,0,0,32553,6522,0,3397,July,39075
Acadia NP,ACAD,National Park,Northeast,ME,2001,8,630240,21923,3151200,0,0,37452,6384,0,2505,August,43836
Acadia NP,ACAD,National Park,Northeast,ME,2001,9,377456,21723,1887280,0,0,17712,5106,0,1045,September,22818
Acadia NP,ACAD,National Park,Northeast,ME,2001,10,257280,20373,1543680,0,0,5232,1950,0,650,October,7182
Acadia NP,ACAD,National Park,Northeast,ME,2001,11,41353,20223,248118,0,0,717,126,0,0,November,843
Acadia NP,ACAD,National Park,Northeast,ME,2001,12,15490,20373,92940,0,0,90,30,0,0,December,120
Acadia NP,ACAD,National Park,Northeast,ME,2002,1,15309,20373,101041,0,0,123,3,0,0,January,126
Acadia NP,ACAD,National Park,Northeast,ME,2002,2,25071,19923,165470,0,0,78,18,0,0,February,96
Acadia NP,ACAD,National Park,Northeast,ME,2002,3,34498,20373,227687,0,0,300,75,0,0,March,375
Acadia NP,ACAD,National Park,Northeast,ME,2002,4,72528,21723,420662,0,0,2040,288,0,0,April,2328
Acadia NP,ACAD,National Park,Northeast,ME,2002,5,163145,21923,946239,0,0,7191,1227,0,793,May,8418
Acadia NP,ACAD,National Park,Northeast,ME,2002,6,325441,21723,1887557,0,0,16923,3135,0,2581,June,20058
Acadia NP,ACAD,National Park,Northeast,ME,2002,7,571119,21923,2855596,0,0,34764,4959,0,3702,July,39723
Acadia NP,ACAD,National Park,Northeast,ME,2002,8,636824,21923,3184121,0,0,38577,5607,0,2441,August,44184
Acadia NP,ACAD,National Park,Northeast,ME,2002,9,392531,21723,1962653,0,0,15666,5259,0,1043,September,20925
Acadia NP,ACAD,National Park,Northeast,ME,2002,10,271312,20373,1627869,0,0,6225,1881,0,702,October,8106
Acadia NP,ACAD,National Park,Northeast,ME,2002,11,36589,20223,219531,0,0,381,60,0,0,November,441
Acadia NP,ACAD,National Park,Northeast,ME,2002,12,14205,20373,85231,0,0,72,33,0,0,December,105
Acadia NP,ACAD,National Park,Northeast,ME,2003,1,22917,0,151251,0,0,93,0,0,0,January,93
Acadia NP,ACAD,National Park,Northeast,ME,2003,2,21993,0,145152,0,0,30,6,0,0,February,36
Acadia NP,ACAD,National Park,Northeast,ME,2003,3,34274,0,226211,0,0,174,24,0,0,March,198
Acadia NP,ACAD,National Park,Northeast,ME,2003,4,68444,0,396975,0,0,2010,540,0,0,April,2550
Acadia NP,ACAD,National Park,Northeast,ME,2003,5,135443,6000,785568,0,0,5844,924,0,916,May,6768
Acadia NP,ACAD,National Park,Northeast,ME,2003,6,309230,6000,1793536,0,0,16104,2658,0,1495,June,18762
Acadia NP,ACAD,National Park,Northeast,ME,2003,7,547836,6000,2739180,0,0,33948,5247,0,3250,July,39195
Acadia NP,ACAD,National Park,Northeast,ME,2003,8,595191,6000,2975956,0,0,37677,5580,0,2777,August,43257
Acadia NP,ACAD,National Park,Northeast,ME,2003,9,376060,6000,1880298,0,0,14823,4857,0,545,September,19680
Acadia NP,ACAD,National Park,Northeast,ME,2003,10,262412,4500,1574472,0,0,6216,1956,0,710,October,8172
Acadia NP,ACAD,National Park,Northeast,ME,2003,11,44294,0,265764,0,0,396,75,0,0,November,471
Acadia NP,ACAD,National Park,Northeast,ME,2003,12,12968,0,77808,0,0,54,9,0,0,December,63
Acadia NP,ACAD,National Park,Northeast,ME,2004,1,11861,0,78283,0,0,21,0,0,0,January,21
Acadia NP,ACAD,National Park,Northeast,ME,2004,2,14266,0,94153,0,0,18,0,0,0,February,18
Acadia NP,ACAD,National Park,Northeast,ME,2004,3,20952,0,138283,0,0,0,0,0,0,March,0
Acadia NP,ACAD,National Park,Northeast,ME,2004,4,60180,0,349046,0,0,5490,909,0,892,April,6399
Acadia NP,ACAD,National Park,Northeast,ME,2004,5,134597,6000,780661,0,0,57,0,0,0,May,57
Acadia NP,ACAD,National Park,Northeast,ME,2004,6,305134,6000,1769774,0,0,13683,2859,0,1426,June,16542
Acadia NP,ACAD,National Park,Northeast,ME,2004,7,471406,6000,2357028,0,0,29700,4902,0,2361,July,34602
Acadia NP,ACAD,National Park,Northeast,ME,2004,8,524675,6000,2623373,0,0,32556,5364,0,2478,August,37920
Acadia NP,ACAD,National Park,Northeast,ME,2004,9,357146,6000,1785728,0,0,14211,3975,0,882,September,18186
Acadia NP,ACAD,National Park,Northeast,ME,2004,10,261284,4500,1567701,0,0,5610,1818,0,579,October,7428
Acadia NP,ACAD,National Park,Northeast,ME,2004,11,34125,0,204748,0,0,219,42,0,0,November,261
Acadia NP,ACAD,National Park,Northeast,ME,2004,12,12221,0,73326,0,0,12,9,0,0,December,21
Acadia NP,ACAD,National Park,Northeast,ME,2005,1,10810,600,71346,0,0,24,15,0,0,January,39
Acadia NP,ACAD,National Park,Northeast,ME,2005,2,11831,600,78086,0,0,39,18,0,0,February,57
Acadia NP,ACAD,National Park,Northeast,ME,2005,3,18917,600,124854,0,0,0,0,0,0,March,0
Acadia NP,ACAD,National Park,Northeast,ME,2005,4,59773,600,346683,0,0,888,6,0,0,April,894
Acadia NP,ACAD,National Park,Northeast,ME,2005,5,110330,7500,628052,0,0,4011,834,63,187,May,4908
Acadia NP,ACAD,National Park,Northeast,ME,2005,6,275175,7500,1558937,0,0,11058,2808,159,629,June,14025
Acadia NP,ACAD,National Park,Northeast,ME,2005,7,468512,7500,2313401,0,0,24099,5145,301,1657,July,29545
Acadia NP,ACAD,National Park,Northeast,ME,2005,8,519350,7500,2533618,0,0,28812,6039,396,1794,August,35247
Acadia NP,ACAD,National Park,Northeast,ME,2005,9,321070,7500,1489505,0,0,12978,3351,204,870,September,16533
Acadia NP,ACAD,National Park,Northeast,ME,2005,10,207599,6000,1134918,0,0,3906,1086,34,241,October,5026
Acadia NP,ACAD,National Park,Northeast,ME,2005,11,37101,600,222607,0,0,0,0,0,0,November,0
Acadia NP,ACAD,National Park,Northeast,ME,2005,12,11016,600,66098,0,0,0,0,0,0,December,0
Acadia NP,ACAD,National Park,Northeast,ME,2006,1,13494,600,89063,0,0,0,0,0,0,January,0
Acadia NP,ACAD,National Park,Northeast,ME,2006,2,12924,600,85298,0,0,0,0,0,0,February,0
Acadia NP,ACAD,National Park,Northeast,ME,2006,3,21695,600,143188,0,0,0,0,0,0,March,0
Acadia NP,ACAD,National Park,Northeast,ME,2006,4,59034,600,342396,0,0,0,0,0,0,April,0
Acadia NP,ACAD,National Park,Northeast,ME,2006,5,120889,7500,693274,0,0,4005,882,90,400,May,4977
Acadia NP,ACAD,National Park,Northeast,ME,2006,6,244333,7500,1370876,0,0,11661,2865,221,960,June,14747
Acadia NP,ACAD,National Park,Northeast,ME,2006,7,476631,7500,2342793,0,0,28701,5049,343,2266,July,34093
Acadia NP,ACAD,National Park,Northeast,ME,2006,8,506833,7500,2491536,0,0,33684,5931,392,2477,August,40007
Acadia NP,ACAD,National Park,Northeast,ME,2006,9,330649,7500,1545327,0,0,13476,5277,204,1037,September,18957
Acadia NP,ACAD,National Park,Northeast,ME,2006,10,249850,6000,1333269,0,0,4725,2295,56,160,October,7076
Acadia NP,ACAD,National Park,Northeast,ME,2006,11,33903,600,203418,0,0,0,0,0,0,November,0
Acadia NP,ACAD,National Park,Northeast,ME,2006,12,13353,600,80117,0,0,0,0,0,0,December,0
